#ENTRANCE
ToMap	0
OnMap	2
Here	449 449
There	499 499
From     0 0
Symbol   0
Vnum	-1
Prevsector 18
Area	(null)~
End

#ENTRANCE
ToMap	0
OnMap	1
Here	499 498
There	499 499
From     0 0
Symbol   0
Vnum	-1
Prevsector 18
Area	(null)~
End

#ENTRANCE
ToMap	-1
OnMap	1
Here	498 499
There	-1 -1
From     0 0
Symbol   0
Vnum	51499
Prevsector 18
Area	(null)~
End

#ENTRANCE
ToMap	2
OnMap	1
Here	500 499
There	499 499
From     0 0
Symbol   0
Vnum	-1
Prevsector 18
Area	(null)~
End

#ENTRANCE
ToMap	0
OnMap	2
Here	500 499
There	499 499
From     0 0
Symbol   0
Vnum	-1
Prevsector 18
Area	(null)~
End

#ENTRANCE
ToMap	-1
OnMap	2
Here	498 499
There	-1 -1
From     0 0
Symbol   0
Vnum	50999
Prevsector 18
Area	(null)~
End

#ENTRANCE
ToMap	1
OnMap	2
Here	499 498
There	499 499
From     0 0
Symbol   0
Vnum	-1
Prevsector 18
Area	(null)~
End

#ENTRANCE
ToMap	-1
OnMap	1
Here	498 502
There	-1 -1
From     0 0
Symbol   0
Vnum	251
Prevsector 5
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	496 499
There	-1 -1
From     0 0
Symbol   0
Vnum	251
Prevsector 3
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	420 158
There	-1 -1
From     -1 -1
Symbol   4
Vnum	6943
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	433 159
There	-1 -1
From     433 160
Symbol   5
Vnum	6941
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	407 155
There	-1 -1
From     -1 -1
Symbol   3
Vnum	6944
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	443 150
There	-1 -1
From     -1 -1
Symbol   1
Vnum	6805
Prevsector 0
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	261 15
There	-1 -1
From     261 16
Symbol   1
Vnum	6918
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	276 18
There	-1 -1
From     276 19
Symbol   9
Vnum	6811
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	287 39
There	-1 -1
From     286 39
Symbol   3
Vnum	6827
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	267 36
There	-1 -1
From     267 35
Symbol   4
Vnum	6826
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	258 42
There	-1 -1
From     258 43
Symbol   6
Vnum	6919
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	248 40
There	-1 -1
From     248 39
Symbol   2
Vnum	6821
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	268 53
There	-1 -1
From     269 53
Symbol   8
Vnum	6830
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	253 24
There	-1 -1
From     254 24
Symbol   8
Vnum	6803
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	275 26
There	-1 -1
From     275 27
Symbol   7
Vnum	7403
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	263 26
There	-1 -1
From     263 27
Symbol   7
Vnum	7405
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	271 26
There	-1 -1
From     271 27
Symbol   7
Vnum	7406
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	267 26
There	-1 -1
From     267 27
Symbol   7
Vnum	7407
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	270 32
There	-1 -1
From     269 32
Symbol   7
Vnum	7409
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	274 32
There	-1 -1
From     274 31
Symbol   7
Vnum	7410
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	278 32
There	-1 -1
From     278 31
Symbol   7
Vnum	7412
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	278 36
There	-1 -1
From     278 37
Symbol   7
Vnum	7413
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	274 36
There	-1 -1
From     274 37
Symbol   7
Vnum	7416
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	405 350
There	-1 -1
From     404 350
Symbol   7
Vnum	6912
Prevsector 8
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	208 257
There	-1 -1
From     208 258
Symbol   8
Vnum	6807
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	274 401
There	-1 -1
From     274 402
Symbol   1
Vnum	6867
Prevsector 0
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	269 411
There	-1 -1
From     269 410
Symbol   1
Vnum	6868
Prevsector 1
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	286 407
There	-1 -1
From     286 406
Symbol   1
Vnum	6869
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	260 404
There	-1 -1
From     260 403
Symbol   1
Vnum	6872
Prevsector 1
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	263 396
There	-1 -1
From     263 397
Symbol   8
Vnum	6875
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	249 393
There	-1 -1
From     249 394
Symbol   8
Vnum	6878
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	288 34
There	-1 -1
From     287 34
Symbol   5
Vnum	6806
Prevsector 1
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	263 45
There	-1 -1
From     263 46
Symbol   7
Vnum	7431
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	268 45
There	-1 -1
From     268 46
Symbol   7
Vnum	7432
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	276 46
There	-1 -1
From     276 47
Symbol   7
Vnum	7428
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	279 51
There	-1 -1
From     279 50
Symbol   7
Vnum	7429
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	260 51
There	-1 -1
From     260 50
Symbol   7
Vnum	7425
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	250 47
There	-1 -1
From     251 47
Symbol   7
Vnum	7418
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	256 37
There	-1 -1
From     255 37
Symbol   7
Vnum	7419
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	252 31
There	-1 -1
From     253 31
Symbol   7
Vnum	7426
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	412 150
There	-1 -1
From     413 150
Symbol   9
Vnum	6829
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	420 143
There	-1 -1
From     420 144
Symbol   7
Vnum	7420
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	428 137
There	-1 -1
From     428 138
Symbol   7
Vnum	7451
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	434 133
There	-1 -1
From     434 134
Symbol   7
Vnum	7450
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	443 145
There	-1 -1
From     442 145
Symbol   7
Vnum	7448
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	433 149
There	-1 -1
From     433 150
Symbol   7
Vnum	7449
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	438 167
There	-1 -1
From     438 166
Symbol   7
Vnum	7445
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	427 170
There	-1 -1
From     -1 -1
Symbol   7
Vnum	7444
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	421 167
There	-1 -1
From     421 166
Symbol   7
Vnum	7442
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	411 161
There	-1 -1
From     412 161
Symbol   7
Vnum	7443
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	385 262
There	-1 -1
From     385 263
Symbol   0
Vnum	9102
Prevsector 3
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	260 33
There	-1 -1
From     260 32
Symbol   10
Vnum	6947
Prevsector 1
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	284 25
There	-1 -1
From     284 26
Symbol   11
Vnum	6946
Prevsector 27
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	437 137
There	-1 -1
From     437 138
Symbol   10
Vnum	6945
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	414 168
There	-1 -1
From     414 167
Symbol   11
Vnum	6942
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	235 242
There	-1 -1
From     235 243
Symbol   4
Vnum	6940
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	224 241
There	-1 -1
From     224 242
Symbol   3
Vnum	6840
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	217 251
There	-1 -1
From     216 251
Symbol   5
Vnum	6841
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	222 257
There	-1 -1
From     222 258
Symbol   10
Vnum	6842
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	230 257
There	-1 -1
From     229 257
Symbol   11
Vnum	6843
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	230 251
There	-1 -1
From     229 251
Symbol   9
Vnum	6844
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	226 250
There	-1 -1
From     227 250
Symbol   7
Vnum	7402
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	211 243
There	-1 -1
From     -1 -1
Symbol   7
Vnum	7404
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	243 248
There	-1 -1
From     242 248
Symbol   7
Vnum	7408
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	245 253
There	-1 -1
From     244 253
Symbol   7
Vnum	7411
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	235 258
There	-1 -1
From     236 258
Symbol   7
Vnum	7414
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	248 266
There	-1 -1
From     247 266
Symbol   7
Vnum	7415
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	242 269
There	-1 -1
From     243 269
Symbol   7
Vnum	7417
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	238 271
There	-1 -1
From     238 272
Symbol   7
Vnum	7421
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	241 277
There	-1 -1
From     240 277
Symbol   7
Vnum	7422
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	232 277
There	-1 -1
From     232 276
Symbol   7
Vnum	7424
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	231 271
There	-1 -1
From     231 272
Symbol   7
Vnum	7427
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	224 271
There	-1 -1
From     225 271
Symbol   7
Vnum	7430
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	224 266
There	-1 -1
From     225 266
Symbol   7
Vnum	7433
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	218 267
There	-1 -1
From     218 266
Symbol   7
Vnum	7434
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	211 262
There	-1 -1
From     212 262
Symbol   1
Vnum	6852
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	287 395
There	-1 -1
From     286 395
Symbol   3
Vnum	6853
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	270 393
There	-1 -1
From     270 392
Symbol   5
Vnum	6854
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	281 383
There	-1 -1
From     281 384
Symbol   10
Vnum	6855
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	267 375
There	-1 -1
From     267 376
Symbol   4
Vnum	6856
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	253 381
There	-1 -1
From     253 382
Symbol   11
Vnum	6857
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	87 231
There	-1 -1
From     87 232
Symbol   0
Vnum	6858
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	1
Here	85 244
There	-1 -1
From     -1 -1
Symbol   0
Vnum	6866
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	1
Here	85 231
There	-1 -1
From     85 232
Symbol   0
Vnum	6873
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	1
Here	84 231
There	-1 -1
From     84 232
Symbol   0
Vnum	6873
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	65 44
There	-1 -1
From     65 45
Symbol   0
Vnum	8001
Prevsector 5
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	66 44
There	-1 -1
From     66 45
Symbol   0
Vnum	8001
Prevsector 5
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	449 41
There	-1 -1
From     -1 -1
Symbol   0
Vnum	920
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	127 412
There	-1 -1
From     128 412
Symbol   0
Vnum	951
Prevsector 2
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	0
Here	413 257
There	-1 -1
From     413 258
Symbol   7
Vnum	6935
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	222 153
There	-1 -1
From     223 153
Symbol   6
Vnum	8060
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	233 145
There	-1 -1
From     233 144
Symbol   3
Vnum	8065
Prevsector 27
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	241 148
There	-1 -1
From     242 148
Symbol   9
Vnum	8066
Prevsector 27
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	241 159
There	-1 -1
From     242 159
Symbol   4
Vnum	8070
Prevsector 27
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	234 162
There	-1 -1
From     234 163
Symbol   1
Vnum	8104
Prevsector 27
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	227 159
There	-1 -1
From     226 159
Symbol   5
Vnum	8132
Prevsector 27
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	208 154
There	-1 -1
From     207 154
Symbol   7
Vnum	8133
Prevsector 27
Area	~
End

#ENTRANCE
ToMap	3
OnMap	3
Here	262 151
There	262 151
From     -1 -1
Symbol   7
Vnum	-1
Prevsector 27
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	234 153
There	-1 -1
From     -1 -1
Symbol   2
Vnum	8139
Prevsector 19
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	237 140
There	-1 -1
From     237 141
Symbol   10
Vnum	8140
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	223 140
There	-1 -1
From     223 141
Symbol   7
Vnum	7452
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	216 144
There	-1 -1
From     216 143
Symbol   7
Vnum	7453
Prevsector 24
Area	~
End

#ENTRANCE
ToMap	-1
OnMap	3
Here	213 140
There	-1 -1
From     213 141
Symbol   7
Vnum	7454
Prevsector 24
Area	~
End

