#RESET
Type	1
Vnum	6939
Coordinates	0 378 407
Count    1
End

#RESET
Type	1
Vnum	6838
Coordinates	1 85 233
Count    1
End

#RESET
Type	1
Vnum	6938
Coordinates	1 85 232
Count    1
End

#RESET
Type	1
Vnum	8132
Coordinates	3 224 153
Count    1
End

#RESET
Type	1
Vnum	8133
Coordinates	3 233 142
Count    1
End

#RESET
Type	1
Vnum	8134
Coordinates	3 244 148
Count    1
End

#RESET
Type	1
Vnum	8135
Coordinates	3 244 162
Count    1
End

#RESET
Type	1
Vnum	8136
Coordinates	3 241 175
Count    1
End

#RESET
Type	1
Vnum	8137
Coordinates	3 259 179
Count    1
End

#RESET
Type	1
Vnum	8138
Coordinates	3 266 159
Count    1
End

#RESET
Type	1
Vnum	8139
Coordinates	3 205 159
Count    1
End

#RESET
Type	1
Vnum	8140
Coordinates	3 213 142
Count    1
End

#RESET
Type	1
Vnum	8141
Coordinates	3 261 33
Count    1
End

#RESET
Type	1
Vnum	8142
Coordinates	3 256 25
Count    1
End

#RESET
Type	1
Vnum	8143
Coordinates	3 279 24
Count    1
End

#RESET
Type	1
Vnum	8144
Coordinates	3 277 47
Count    1
End

#RESET
Type	1
Vnum	8145
Coordinates	3 51 50
Count    1
End

#RESET
Type	1
Vnum	8146
Coordinates	3 72 50
Count    1
End

#RESET
Type	1
Vnum	8083
Coordinates	3 69 61
Count    1
End

#RESET
Type	1
Vnum	8084
Coordinates	3 74 39
Count    1
End

#RESET
Type	1
Vnum	8085
Coordinates	3 416 61
Count    1
End

#RESET
Type	1
Vnum	8086
Coordinates	3 402 54
Count    1
End

#RESET
Type	1
Vnum	8087
Coordinates	3 408 42
Count    1
End

#RESET
Type	1
Vnum	8088
Coordinates	3 420 33
Count    1
End

#RESET
Type	1
Vnum	8089
Coordinates	3 415 33
Count    1
End

#RESET
Type	1
Vnum	8090
Coordinates	3 429 41
Count    1
End

#RESET
Type	1
Vnum	8091
Coordinates	3 444 46
Count    1
End

#RESET
Type	1
Vnum	8092
Coordinates	3 434 56
Count    1
End

#RESET
Type	1
Vnum	8093
Coordinates	3 432 299
Count    1
End

#RESET
Type	1
Vnum	8094
Coordinates	3 416 299
Count    1
End

#RESET
Type	1
Vnum	8095
Coordinates	3 414 289
Count    1
End

#RESET
Type	1
Vnum	8096
Coordinates	3 198 363
Count    1
End

#RESET
Type	1
Vnum	8097
Coordinates	3 188 372
Count    1
End

#RESET
Type	1
Vnum	8098
Coordinates	3 171 360
Count    1
End

#RESET
Type	1
Vnum	8099
Coordinates	3 157 348
Count    1
End

#RESET
Type	1
Vnum	8100
Coordinates	3 178 340
Count    1
End

#END
