#ASKILL
Name         absorb~
Keyword      absorb~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         1
Mana         1000
Rounds       13
Code         do_absorb
Dammsg       ~
Value        -1
Teachers     8027~
Minlevel     0
Powerlevel   125000
RaceSkill     3
End

#ASKILL
Name         absorption~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         2
Mana         100
Code         do_absorption
Dammsg       ~
Value        -1
Minlevel     0
Powerlevel   250000
RaceSkill     256
End

#ASKILL
Name         berserk~
Keyword      berserk~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         5
Mana         5
Rounds       5
Code         do_skillberserk
Dammsg       ~
Minlevel     0
Powerlevel   8000000
RaceSkill     16
End

#ASKILL
Name         big bang kamehameha~
Keyword      bbkame~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         5
Mana         8000
Rounds       18
Code         do_bbk
Dammsg       ~
Minlevel     0
Powerlevel   80000000
RaceSkill     4
End

#ASKILL
Name         blue barrier~
Keyword      bbarrier~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         5
Mana         5
Rounds       5
Code         do_skillbbarrier
Dammsg       ~
Minlevel     0
Powerlevel   65000000
RaceSkill     1
End

#ASKILL
Name         burning attack~
Keyword      burnattack~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         3
Mana         4500
Rounds       15
Code         do_burnattack
Dammsg       ~
Teachers     6937~
Minlevel     0
Powerlevel   85000000
RaceSkill     8
End

#ASKILL
Name         claw~
Keyword      claw~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         4
Rounds       11
Code         do_claw
Dammsg       ~
Minlevel     0
Powerlevel   250000
RaceSkill     128
End

#ASKILL
Name         enrage~
Keyword      enrage~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         5
Mana         5
Rounds       5
Code         do_skillenrage
Dammsg       ~
Minlevel     0
Powerlevel   7500000
RaceSkill     8
End

#ASKILL
Name         final flash~
Keyword      fflash~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         5
Mana         5000
Rounds       15
Code         do_finalflash
Dammsg       ~
Minlevel     0
Powerlevel   65000000
RaceSkill     4
End

#ASKILL
Name         final kamehameha~
Keyword      fkame~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         5
Mana         8000
Rounds       18
Code         do_fkame
Dammsg       ~
Minlevel     0
Powerlevel   75000000
RaceSkill     4
End

#ASKILL
Name         deathball~
Keyword      deathball~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         6
Mana         6500
Rounds       16
Code         do_deathball
Dammsg       ~
Minlevel     0
Powerlevel   55000000
RaceSkill     64
End

#ASKILL
Name         deathbeam~
Keyword      deathbeam~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         7
Rounds       13
Code         do_deathbeam
Dammsg       ~
Minlevel     0
Powerlevel   2000000
RaceSkill     96
End

#ASKILL
Name         destructo disk~
Keyword      disk~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         8
Mana         750
Rounds       8
Code         do_disk
Dammsg       ~
Value        -1
Minlevel     0
Powerlevel   1000000
RaceSkill     80
End

#ASKILL
Name         dodompa~
Keyword      dodompa~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         9
Mana         4250
Rounds       15
Radius	      14
Code         do_dodompa
Dammsg       ~
Minlevel     0
Powerlevel   55000000
RaceSkill     16
End

#ASKILL
Name         doublekick~
Keyword      dk~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         10
Rounds       14
Code         do_dk
Dammsg       ~
Minlevel     0
Powerlevel   10000
RaceSkill     272
End

#ASKILL
Name         doublepunch~
Keyword      dp~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         11
Rounds       14
Code         do_dp
Dammsg       ~
Minlevel     0
Powerlevel   10000
RaceSkill     272
End

#ASKILL
Name         dragonfist~
Keyword      dfist~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         12
Mana         6000
Rounds       16
Code         do_dragonfist
Dammsg       ~
Minlevel     0
Powerlevel   85000000
RaceSkill     4
End

#ASKILL
Name         dual destructo disk~
Keyword      ddd~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         13
Mana         1500
Rounds       8
Code         do_ddd
Dammsg       ~
Value        -1
Minlevel     0
Powerlevel   1000000
RaceSkill     64
End

#ASKILL
Name         energy barrier~
Keyword      barrier~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         14
Mana         750
Rounds       8
Code         do_barrier
Dammsg       ~
Minlevel     0
Powerlevel   1000000
RaceSkill     184
End

#ASKILL
Name         energy sphere~
Keyword      sphere~
Type         ASkill
Info         0
Flags        0
Minpos       107
Slot         15
Mana         2250
Rounds       8
Code         do_sphere
Dammsg       ~
Value        -1
Minlevel     0
Powerlevel   25000
RaceSkill     303
End

