#DOCK
Name         Spaceport Gate1~
Coordname    spaceport_gate1~
X            7
Y            12
Z            5
D            1
Room         319
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate2~
Coordname    spaceport_gate2~
X            7
Y            12
Z            5
D            2
Room         322
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate3~
Coordname    spaceport_gate3~
X            7
Y            12
Z            5
D            3
Room         321
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate4~
Coordname    spaceport_gate4~
X            7
Y            12
Z            5
D            4
Room         323
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate5~
Coordname    spaceport_gate5~
X            7
Y            12
Z            5
D            5
Room         324
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate6~
Coordname    spaceport_gate6~
X            7
Y            12
Z            5
D            6
Room         326
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate7~
Coordname    spaceport_gate7~
X            7
Y            12
Z            5
D            7
Room         327
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate8~
Coordname    spaceport_gate8~
X            7
Y            12
Z            5
D            8
Room         329
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate9~
Coordname    spaceport_gate9~
X            7
Y            12
Z            5
D            9
Room         330
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate10~
Coordname    spaceport_gate10~
X            7
Y            12
Z            5
D            10
Room         331
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Spaceport Gate11~
Coordname    spaceport_gate11~
X            7
Y            12
Z            5
D            11
Room         340
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Personal Docks~
Coordname    personal_docks~
X            7
Y            12
Z            5
D            12
Room         332
Onlyshuttle  0
Type	   1
End

#DOCK
Name         Evil Chikara~
Coordname    evil_chikara~
X            22
Y            20
Z            10
D            0
Room         1101
Onlyshuttle  0
Type	   4
End

#DOCK
Name         Good Chikara~
Coordname    good_chikara~
X            32
Y            19
Z            15
D            0
Room         1076
Onlyshuttle  0
Type	   4
End

#DOCK
Name         Planet Vegeta~
Coordname    planet_vegeta~
X            50
Y            19
Z            25
D            0
Room         501
Onlyshuttle  0
Type	   3
End

#DOCK
Name         Planet Mutant~
Coordname    planet_mutant~
X            5
Y            30
Z            20
D            0
Room         801
Onlyshuttle  0
Type	   3
End

#DOCK
Name         Planet Earth~
Coordname    planet_earth~
X            15
Y            25
Z            40
D            0
Room         6823
Onlyshuttle  0
Type	   3
End

#DOCK
Name         Planet Freezar~
Coordname    planet_freezar~
X            40
Y            15
Z            5
D            0
Room         7302
Onlyshuttle  0
Type	   3
End

#DOCK
Name         Ghetti Planet~
Coordname    planet_ghetti~
X            10
Y            40
Z            5
D            0
Room         6552
Onlyshuttle  0
Type	   3
End

#DOCK
Name         Asteroid~
Coordname    asteroid~
X            5
Y            25
Z            10
D            0
Room         6501
Onlyshuttle  0
Type	   4
End

#DOCK
Name         Cobra Sect HQ~
Coordname    cs_hq~
X            33
Y            29
Z            18
D            0
Room         6201
Onlyshuttle  0
Type	   2
End

#DOCK
Name         Majin HQ~
Coordname    mhq~
X            6
Y            6
Z            6
D            6
Room         401
Onlyshuttle  0
Type	   2
End

#DOCK
Name         Turk HQ~
Coordname    turk_hq~
X            6
Y            15
Z            3
D            0
Room         6602
Onlyshuttle  0
Type	   2
End

#DOCK
Name         Chaos Knights HQ~
